"train/global_step","translategemma-4b-darija-en-v5 - train/loss","translategemma-4b-darija-en-v5 - train/loss__MIN","translategemma-4b-darija-en-v5 - train/loss__MAX","translategemma-4b-darija-en-v5 - _step","translategemma-4b-darija-en-v5 - _step__MIN","translategemma-4b-darija-en-v5 - _step__MAX"
"5","4.056017303466797","4.056017303466797","4.056017303466797","2","2","2"
"10","1.5863862037658691","1.5863862037658691","1.5863862037658691","4","4","4"
"15","1.5302050590515137","1.5302050590515137","1.5302050590515137","5","5","5"
"20","1.3979354858398438","1.3979354858398438","1.3979354858398438","7","7","7"
"25","1.3043615341186523","1.3043615341186523","1.3043615341186523","8","8","8"
"30","1.440213966369629","1.440213966369629","1.440213966369629","9","9","9"
"35","1.3265451431274413","1.3265451431274413","1.3265451431274413","10","10","10"
"40","1.199692440032959","1.199692440032959","1.199692440032959","11","11","11"
"45","1.1680983543395995","1.1680983543395995","1.1680983543395995","12","12","12"
"50","1.2536914825439454","1.2536914825439454","1.2536914825439454","14","14","14"
"55","1.135205364227295","1.135205364227295","1.135205364227295","15","15","15"
"60","1.1441476821899415","1.1441476821899415","1.1441476821899415","16","16","16"
"65","1.1700118064880372","1.1700118064880372","1.1700118064880372","17","17","17"
"70","1.085118579864502","1.085118579864502","1.085118579864502","18","18","18"
"75","1.0645533561706544","1.0645533561706544","1.0645533561706544","19","19","19"
"80","1.105507755279541","1.105507755279541","1.105507755279541","20","20","20"
"85","1.058372688293457","1.058372688293457","1.058372688293457","21","21","21"
"90","1.1102249145507812","1.1102249145507812","1.1102249145507812","22","22","22"
"95","1.060501766204834","1.060501766204834","1.060501766204834","23","23","23"
"100","1.0406811714172364","1.0406811714172364","1.0406811714172364","25","25","25"
"105","1.0173820495605468","1.0173820495605468","1.0173820495605468","26","26","26"
"110","0.9618690490722657","0.9618690490722657","0.9618690490722657","27","27","27"
"115","0.9929031372070313","0.9929031372070313","0.9929031372070313","28","28","28"
"120","1.0499171257019042","1.0499171257019042","1.0499171257019042","29","29","29"
"125","0.9735529899597168","0.9735529899597168","0.9735529899597168","30","30","30"
"130","0.9538474082946777","0.9538474082946777","0.9538474082946777","31","31","31"
"135","0.9389222145080567","0.9389222145080567","0.9389222145080567","32","32","32"
"140","0.9899703979492187","0.9899703979492187","0.9899703979492187","33","33","33"
"145","0.949977970123291","0.949977970123291","0.949977970123291","34","34","34"
"150","0.9464000701904297","0.9464000701904297","0.9464000701904297","36","36","36"
"155","0.9167834281921386","0.9167834281921386","0.9167834281921386","37","37","37"
"160","0.9429361343383789","0.9429361343383789","0.9429361343383789","38","38","38"
"165","0.9010334968566894","0.9010334968566894","0.9010334968566894","39","39","39"
"170","0.8881155014038086","0.8881155014038086","0.8881155014038086","40","40","40"
"175","0.925438404083252","0.925438404083252","0.925438404083252","41","41","41"
"180","0.8322907447814941","0.8322907447814941","0.8322907447814941","42","42","42"
"185","0.8913103103637695","0.8913103103637695","0.8913103103637695","43","43","43"
"190","0.8946397781372071","0.8946397781372071","0.8946397781372071","44","44","44"
"195","0.8372482299804688","0.8372482299804688","0.8372482299804688","45","45","45"
"200","0.8555525779724121","0.8555525779724121","0.8555525779724121","47","47","47"
"205","0.8418427467346191","0.8418427467346191","0.8418427467346191","48","48","48"
"210","0.8360225677490234","0.8360225677490234","0.8360225677490234","49","49","49"
"215","0.8715686798095703","0.8715686798095703","0.8715686798095703","50","50","50"
"220","0.8865084648132324","0.8865084648132324","0.8865084648132324","51","51","51"
"225","0.8105374336242676","0.8105374336242676","0.8105374336242676","52","52","52"
"230","0.8953984260559082","0.8953984260559082","0.8953984260559082","53","53","53"
"235","0.9027055740356446","0.9027055740356446","0.9027055740356446","54","54","54"
"240","0.8175990104675293","0.8175990104675293","0.8175990104675293","55","55","55"
"245","0.845404052734375","0.845404052734375","0.845404052734375","56","56","56"
"250","0.8212942123413086","0.8212942123413086","0.8212942123413086","58","58","58"
"255","0.8365292549133301","0.8365292549133301","0.8365292549133301","59","59","59"
"260","0.8251261711120605","0.8251261711120605","0.8251261711120605","60","60","60"
"265","0.8057987213134765","0.8057987213134765","0.8057987213134765","61","61","61"
"270","0.8330659866333008","0.8330659866333008","0.8330659866333008","62","62","62"
"275","0.7912803173065186","0.7912803173065186","0.7912803173065186","63","63","63"
"280","0.8012218475341797","0.8012218475341797","0.8012218475341797","64","64","64"
"285","0.775049877166748","0.775049877166748","0.775049877166748","65","65","65"
"290","0.7565454959869384","0.7565454959869384","0.7565454959869384","66","66","66"
"295","0.868145751953125","0.868145751953125","0.868145751953125","67","67","67"
"300","0.8420036315917969","0.8420036315917969","0.8420036315917969","69","69","69"
"305","0.7664438247680664","0.7664438247680664","0.7664438247680664","70","70","70"
